"chr1"	1	2300000	"p36.33"
"chr1"	2300001	5300000	"p36.32"
"chr1"	5300001	7100000	"p36.31"
"chr1"	7100001	9100000	"p36.23"
"chr1"	9100001	12500000	"p36.22"
"chr1"	12500001	15900000	"p36.21"
"chr1"	15900001	20100000	"p36.13"
"chr1"	20100001	23600000	"p36.12"
"chr1"	23600001	27600000	"p36.11"
"chr1"	27600001	29900000	"p35.3"
"chr1"	29900001	32300000	"p35.2"
"chr1"	32300001	34300000	"p35.1"
"chr1"	34300001	39600000	"p34.3"
"chr1"	39600001	43700000	"p34.2"
"chr1"	43700001	46300000	"p34.1"
"chr1"	46300001	50200000	"p33"
"chr1"	50200001	55600000	"p32.3"
"chr1"	55600001	58500000	"p32.2"
"chr1"	58500001	60800000	"p32.1"
"chr1"	60800001	68500000	"p31.3"
"chr1"	68500001	69300000	"p31.2"
"chr1"	69300001	84400000	"p31.1"
"chr1"	84400001	87900000	"p22.3"
"chr1"	87900001	91500000	"p22.2"
"chr1"	91500001	94300000	"p22.1"
"chr1"	94300001	99300000	"p21.3"
"chr1"	99300001	101800000	"p21.2"
"chr1"	101800001	106700000	"p21.1"
"chr1"	106700001	111200000	"p13.3"
"chr1"	111200001	115500000	"p13.2"
"chr1"	115500001	117200000	"p13.1"
"chr1"	117200001	120400000	"p12"
"chr1"	120400001	121700000	"p11.2"
"chr1"	121700001	123400000	"p11.1"
"chr1"	123400001	125100000	"q11"
"chr1"	125100001	143200000	"q12"
"chr1"	143200001	147500000	"q21.1"
"chr1"	147500001	150600000	"q21.2"
"chr1"	150600001	155100000	"q21.3"
"chr1"	155100001	156600000	"q22"
"chr1"	156600001	159100000	"q23.1"
"chr1"	159100001	160500000	"q23.2"
"chr1"	160500001	165500000	"q23.3"
"chr1"	165500001	167200000	"q24.1"
"chr1"	167200001	170900000	"q24.2"
"chr1"	170900001	173000000	"q24.3"
"chr1"	173000001	176100000	"q25.1"
"chr1"	176100001	180300000	"q25.2"
"chr1"	180300001	185800000	"q25.3"
"chr1"	185800001	190800000	"q31.1"
"chr1"	190800001	193800000	"q31.2"
"chr1"	193800001	198700000	"q31.3"
"chr1"	198700001	207100000	"q32.1"
"chr1"	207100001	211300000	"q32.2"
"chr1"	211300001	214400000	"q32.3"
"chr1"	214400001	223900000	"q41"
"chr1"	223900001	224400000	"q42.11"
"chr1"	224400001	226800000	"q42.12"
"chr1"	226800001	230500000	"q42.13"
"chr1"	230500001	234600000	"q42.2"
"chr1"	234600001	236400000	"q42.3"
"chr1"	236400001	243500000	"q43"
"chr1"	243500001	248956422	"q44"
"chr2"	1	4400000	"p25.3"
"chr2"	4400001	6900000	"p25.2"
"chr2"	6900001	12000000	"p25.1"
"chr2"	12000001	16500000	"p24.3"
"chr2"	16500001	19000000	"p24.2"
"chr2"	19000001	23800000	"p24.1"
"chr2"	23800001	27700000	"p23.3"
"chr2"	27700001	29800000	"p23.2"
"chr2"	29800001	31800000	"p23.1"
"chr2"	31800001	36300000	"p22.3"
"chr2"	36300001	38300000	"p22.2"
"chr2"	38300001	41500000	"p22.1"
"chr2"	41500001	47500000	"p21"
"chr2"	47500001	52600000	"p16.3"
"chr2"	52600001	54700000	"p16.2"
"chr2"	54700001	61000000	"p16.1"
"chr2"	61000001	63900000	"p15"
"chr2"	63900001	68400000	"p14"
"chr2"	68400001	71300000	"p13.3"
"chr2"	71300001	73300000	"p13.2"
"chr2"	73300001	74800000	"p13.1"
"chr2"	74800001	83100000	"p12"
"chr2"	83100001	91800000	"p11.2"
"chr2"	91800001	93900000	"p11.1"
"chr2"	93900001	96000000	"q11.1"
"chr2"	96000001	102100000	"q11.2"
"chr2"	102100001	105300000	"q12.1"
"chr2"	105300001	106700000	"q12.2"
"chr2"	106700001	108700000	"q12.3"
"chr2"	108700001	112200000	"q13"
"chr2"	112200001	118100000	"q14.1"
"chr2"	118100001	121600000	"q14.2"
"chr2"	121600001	129100000	"q14.3"
"chr2"	129100001	131700000	"q21.1"
"chr2"	131700001	134300000	"q21.2"
"chr2"	134300001	136100000	"q21.3"
"chr2"	136100001	141500000	"q22.1"
"chr2"	141500001	143400000	"q22.2"
"chr2"	143400001	147900000	"q22.3"
"chr2"	147900001	149000000	"q23.1"
"chr2"	149000001	149600000	"q23.2"
"chr2"	149600001	154000000	"q23.3"
"chr2"	154000001	158900000	"q24.1"
"chr2"	158900001	162900000	"q24.2"
"chr2"	162900001	168900000	"q24.3"
"chr2"	168900001	177100000	"q31.1"
"chr2"	177100001	179700000	"q31.2"
"chr2"	179700001	182100000	"q31.3"
"chr2"	182100001	188500000	"q32.1"
"chr2"	188500001	191100000	"q32.2"
"chr2"	191100001	196600000	"q32.3"
"chr2"	196600001	202500000	"q33.1"
"chr2"	202500001	204100000	"q33.2"
"chr2"	204100001	208200000	"q33.3"
"chr2"	208200001	214500000	"q34"
"chr2"	214500001	220700000	"q35"
"chr2"	220700001	224300000	"q36.1"
"chr2"	224300001	225200000	"q36.2"
"chr2"	225200001	230100000	"q36.3"
"chr2"	230100001	234700000	"q37.1"
"chr2"	234700001	236400000	"q37.2"
"chr2"	236400001	242193529	"q37.3"
"chr3"	1	2800000	"p26.3"
"chr3"	2800001	4000000	"p26.2"
"chr3"	4000001	8100000	"p26.1"
"chr3"	8100001	11600000	"p25.3"
"chr3"	11600001	13200000	"p25.2"
"chr3"	13200001	16300000	"p25.1"
